source_image,candidate_image,phash_distance,dhash_distance,edge_distance,visual_distance,orb_keypoints_source,orb_keypoints_candidate,orb_good_matches,orb_inlier_matches,orb_score,combined_score,match_band
C:\Users\ron\Documents\project\images\fig_166h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1_1.png,18,22,26,21.0,2137,2453,10,6,0.00281,79.28077,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6.png,20,23,21,21.0,1554,2500,4,4,0.00257,79.2574,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6_1.png,20,23,21,21.0,1554,2500,4,4,0.00257,79.2574,weak
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6.png,22,24,15,20.75,341,2500,2,0,0.0,79.25,weak
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6_1.png,22,24,15,20.75,341,2500,2,0,0.0,79.25,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.1.png,24,19,18,21.25,1532,2500,7,4,0.00261,79.0111,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.1_1.png,24,19,18,21.25,1532,2500,7,4,0.00261,79.0111,weak
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.1.png,22,19,21,21.0,341,2052,3,0,0.0,79.0,weak
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.1_1.png,22,19,21,21.0,341,2052,3,0,0.0,79.0,weak
C:\Users\ron\Documents\project\images\fig_261.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.54.1.png,22,26,17,21.75,1115,2500,14,8,0.00717,78.96749,weak
C:\Users\ron\Documents\project\images\fig_261.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.54.1_1.png,22,26,17,21.75,1115,2500,14,8,0.00717,78.96749,weak
C:\Users\ron\Documents\project\images\fig_286h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8.png,18,12,37,21.25,2500,2500,8,5,0.002,78.95,weak
C:\Users\ron\Documents\project\images\fig_286h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8_1.png,18,12,37,21.25,2500,2500,8,5,0.002,78.95,weak
C:\Users\ron\Documents\project\images\fig_286h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8_1_1.png,18,12,37,21.25,2500,2500,8,5,0.002,78.95,weak
C:\Users\ron\Documents\project\images\fig_104.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20.png,20,33,12,21.25,0,1336,0,0,0.0,78.75,weak
C:\Users\ron\Documents\project\images\fig_104.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20_1.png,20,33,12,21.25,0,1336,0,0,0.0,78.75,weak
C:\Users\ron\Documents\project\images\fig_166.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png,18,23,26,21.25,721,2453,7,0,0.0,78.75,weak
C:\Users\ron\Documents\project\images\fig_166.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1_1.png,18,23,26,21.25,721,2453,7,0,0.0,78.75,weak
C:\Users\ron\Documents\project\images\fig_292.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.11.png,16,21,33,21.5,2437,2111,10,5,0.00237,78.73685,weak
C:\Users\ron\Documents\project\images\fig_292.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.11_1.png,16,21,33,21.5,2437,2111,10,5,0.00237,78.73685,weak
C:\Users\ron\Documents\project\images\fig_028.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5.png,20,23,23,21.5,1892,2176,9,4,0.00211,78.71142,weak
C:\Users\ron\Documents\project\images\fig_028.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5_1.png,20,23,23,21.5,1892,2176,9,4,0.00211,78.71142,weak
C:\Users\ron\Documents\project\images\fig_028.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5_2.png,20,23,23,21.5,1892,2176,9,4,0.00211,78.71142,weak
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6.png,22,25,17,21.5,1521,2500,11,3,0.00197,78.69724,weak
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.6_1.png,22,25,17,21.5,1521,2500,11,3,0.00197,78.69724,weak
C:\Users\ron\Documents\project\images\fig_161h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.5.png,18,13,37,21.5,2478,2500,5,4,0.00161,78.66142,weak
C:\Users\ron\Documents\project\images\fig_161h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.5_1.png,18,13,37,21.5,2478,2500,5,4,0.00161,78.66142,weak
C:\Users\ron\Documents\project\images\fig_007h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.33.png,18,17,33,21.5,2500,2500,8,4,0.0016,78.66,weak
C:\Users\ron\Documents\project\images\fig_007h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.33_1.png,18,17,33,21.5,2500,2500,8,4,0.0016,78.66,weak
C:\Users\ron\Documents\project\images\fig_261.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.26.png,22,23,20,21.75,1115,2500,5,4,0.00359,78.60874,weak
C:\Users\ron\Documents\project\images\fig_261.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.26_1.png,22,23,20,21.75,1115,2500,5,4,0.00359,78.60874,weak
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.1.png,22,18,25,21.75,1521,2052,11,5,0.00329,78.57873,weak
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.1_1.png,22,18,25,21.75,1521,2052,11,5,0.00329,78.57873,weak
C:\Users\ron\Documents\project\images\fig_194.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png,18,22,29,21.75,1269,2382,7,4,0.00315,78.56521,weak
C:\Users\ron\Documents\project\images\fig_194.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3_1.png,18,22,29,21.75,1269,2382,7,4,0.00315,78.56521,weak
C:\Users\ron\Documents\project\images\fig_028h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5.png,20,23,23,21.5,2500,2176,3,0,0.0,78.5,weak
C:\Users\ron\Documents\project\images\fig_028h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5_1.png,20,23,23,21.5,2500,2176,3,0,0.0,78.5,weak
C:\Users\ron\Documents\project\images\fig_028h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5_2.png,20,23,23,21.5,2500,2176,3,0,0.0,78.5,weak
