accession_number,title,description,provenance,section,image_file,page_number,has_description,has_provenance,has_section,has_image,data_quality
1899.78.4.3,Wooden shuttle needle,Wooden shuttle needle,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1991.13.10.1,Bronze ring-shaped container with incised decoration depicting a fish,Bronze ring-shaped container with incised decoration depicting a fish,,,page_143.png,143.0,True,False,False,True,2
1991.13.10.2,Bronze lid for container (1991,Bronze lid for container (1991.13.10.2),,,page_144.png,144.0,True,False,False,True,2
1900.39.4,Brass ceremonial,Brass ceremonial,Mary Henrietta Kingsley,2.3,page_063.png,63.0,True,True,True,True,4
1900.39.10,Bronze bell,Bronze bell,Mary Henrietta Kingsley,2.3,page_069.png,69.0,True,True,True,True,4
1991.13.9,"Ivory carved figure, probably broken from a ceremonial staff or flywhisk","Ivory carved figure, probably broken from a ceremonial staff or flywhisk",,,page_142.png,142.0,True,False,False,True,2
1900.39.11,Bronze bell,Bronze bell,Mary Henrietta Kingsley,2.3,page_070.png,70.0,True,True,True,True,4
1900.32.4,String of cylindrical,String of cylindrical,,,page_059.png,59.0,True,False,False,True,2
1909.61.5,Bronze imitation of a,Bronze imitation of a,William John Ansorge,2.6,page_111.png,111.0,True,True,True,True,4
1900.39.9,Bronze hip-ornament,Bronze hip-ornament,Mary Henrietta Kingsley,2.3,page_068.png,68.0,True,True,True,True,4
1917.2.17,,,,,page_010.png,10.0,False,False,False,True,1
1965.9.1,,,,,page_125.png,125.0,False,False,False,True,1
1900.39.21,Ivory door-bolt from the,Ivory door-bolt from the,Mary Henrietta Kingsley,2.3,page_080.png,80.0,True,True,True,True,4
1909.61.4,Bronze imitation of a,Bronze imitation of a,William John Ansorge,2.6,page_110.png,110.0,True,True,True,True,4
1941.2.118,Bronze Bell,Bronze Bell,Cranmore Ethnographical Museum,2.9,page_121.png,121.0,True,True,True,True,4
1901.53.5,Bronze pellet bell,Bronze pellet bell,,,page_092.png,92.0,True,False,False,True,2
1991.13.28,Ivory side-blown trumpet (fragment),Ivory side-blown trumpet (fragment),,,page_162.png,162.0,True,False,False,True,2
1941.2.12,,,,,page_020.png,20.0,False,False,False,True,1
1900.39.1,Brass relief plaque,Brass relief plaque,Mary Henrietta Kingsley,2.3,page_060.png,60.0,True,True,True,True,4
1991.13.22,Gilded bronze cone-shaped hip ornament,Gilded bronze cone-shaped hip ornament,,,page_156.png,156.0,True,False,False,True,2
1898.26.2,,,Felix Norman Roth,2.13,page_021.png,21.0,False,True,True,True,3
1898.26.1.2,Brass powder cylinder,Brass powder cylinder,,,page_031.png,31.0,True,False,False,True,2
1900.39.16,Copper armlet,Copper armlet,Mary Henrietta Kingsley,2.3,page_075.png,75.0,True,True,True,True,4
1909.67.25,,,,,page_181.png,181.0,False,False,False,True,1
1904.59.20,,,,,page_010.png,10.0,False,False,False,True,1
1901.53.2,Bronze arm-ring,Bronze arm-ring,,,page_090.png,90.0,True,False,False,True,2
1904.54.15,,,,,page_010.png,10.0,False,False,False,True,1
1900.39.24,Wooden figure of a,Wooden figure of a,Mary Henrietta Kingsley,2.3,page_083.png,83.0,True,True,True,True,4
1899.50.5,,,,,page_009.png,9.0,False,False,False,True,1
1900.39.8,Bronze hip-ornament,Bronze hip-ornament,Mary Henrietta Kingsley,2.3,page_067.png,67.0,True,True,True,True,4
1980.19.1,Bronze figure of a,Bronze figure of a,Unknown,2.21,page_130.png,130.0,True,True,True,True,4
1899.78.4.8,Wooden weaving rod,Wooden weaving rod,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1900.74.1,Brass vessel,Brass vessel,George Fabian Lawrence,2.1,page_087.png,87.0,True,True,True,True,4
1900.1.6,,,,,page_177.png,177.0,False,False,False,True,1
1991.13.36,Wooden painted altar-piece igbile mask with a canework base,Wooden painted altar-piece igbile mask with a canework base,,,page_167.png,167.0,True,False,False,True,2
1909.11.1.1,Wooden box,Wooden box,Landon,2.12,page_106.png,106.0,True,True,True,True,4
1887.1.152,,,,,page_009.png,9.0,False,False,False,True,1
1988.11.1,Wooden comb,Wooden comb,,,page_134.png,134.0,True,False,False,True,2
1932.88.864,Bronze lamp,Bronze lamp,Henry Balfour,2.15,page_118.png,118.0,True,True,True,True,4
1901.53.11,Bronze pellet bell,Bronze pellet bell,,,page_095.png,95.0,True,False,False,True,2
1929.84.4,,,,,page_010.png,10.0,False,False,False,True,1
1938.34.268,,,,,page_010.png,10.0,False,False,False,True,1
1991.13.20,Side-blown ivory trumpet,Side-blown ivory trumpet,,,page_154.png,154.0,True,False,False,True,2
1909.11.1.2,Wooden lid with carved,Wooden lid with carved,Landon,2.12,page_106.png,106.0,True,True,True,True,4
1909.67.26,,,,,page_181.png,181.0,False,False,False,True,1
1900.39.12,Bronze armlet with,Bronze armlet with,Mary Henrietta Kingsley,2.3,page_071.png,71.0,True,True,True,True,4
1991.13.16,Ivory armlet with inlaid bronze,Ivory armlet with inlaid bronze,,,page_150.png,150.0,True,False,False,True,2
1941.2.124,Wooden rattle staff,Wooden rattle staff,Cranmore Ethnographical Museum,2.9,page_123.png,123.0,True,True,True,True,4
1907.66.1,Brass plaque with relief,Brass plaque with relief,Thomas Francis Embury,2.16,page_100.png,100.0,True,True,True,True,4
1900.39.6,Bronze hip-ornament,Bronze hip-ornament,Mary Henrietta Kingsley,2.3,page_065.png,65.0,True,True,True,True,4
1900.39.27.1,Iron armlet containing,Iron armlet containing,,,page_086.png,86.0,True,False,False,True,2
1913.39.1,,,,,page_011.png,11.0,False,False,False,True,1
1900.39.22,Brass ceremonial fan,Brass ceremonial fan,Mary Henrietta Kingsley,2.3,page_081.png,81.0,True,True,True,True,4
2012.103.12,,,,,page_193.png,193.0,False,False,False,True,1
1901.53.9,Bronze pellet bell,Bronze pellet bell,,,page_038.png,38.0,True,False,False,True,2
1901.54.1,Ground stone axe,Ground stone axe,,,page_096.png,96.0,True,False,False,True,2
1884.24.12,,,,,page_009.png,9.0,False,False,False,True,1
1991.16.1,,,,,page_189.png,189.0,False,False,False,True,1
1900.39.23,Wooden lidded bowl or,Wooden lidded bowl or,Mary Henrietta Kingsley,2.3,page_082.png,82.0,True,True,True,True,4
1900.39.13,Bronze armlet with,Bronze armlet with,Mary Henrietta Kingsley,2.3,page_072.png,72.0,True,True,True,True,4
1900.39.1.27.2,,,Mary Henrietta Kingsley,2.3,,,False,True,True,False,2
1908.41.1,Brass plaque with with,Brass plaque with with,Henry Nilus Thompson,2.8,page_101.png,101.0,True,True,True,True,4
1900.1.7,,,,,page_178.png,178.0,False,False,False,True,1
1900.39.5,Brass staff with the,Brass staff with the,Mary Henrietta Kingsley,2.3,page_064.png,64.0,True,True,True,True,4
1900.74.3,Bronze bracelet,Bronze bracelet,George Fabian Lawrence,2.1,page_089.png,89.0,True,True,True,True,4
1991.13.7,Ivory lid with five projections,Ivory lid with five projections,,,page_140.png,140.0,True,False,False,True,2
1901.32.10,,,,,page_010.png,10.0,False,False,False,True,1
1991.13.3,Silver-plated ceremonial sword (eben) stamped as made by the British firm,Silver-plated ceremonial sword (eben) stamped as made by the British firm,,,page_137.png,137.0,True,False,False,True,2
1995.1.2,,,,,page_191.png,191.0,False,False,False,True,1
1975.7.2,Bronze cylindrical,Bronze cylindrical,,,page_128.png,128.0,True,False,False,True,2
1991.13.14,Gilded bronze armlet,Gilded bronze armlet,,,page_148.png,148.0,True,False,False,True,2
1909.61.6,Bronze imitation of a,Bronze imitation of a,William John Ansorge,2.6,page_112.png,112.0,True,True,True,True,4
1991.13.17.2,Coralwork sheath for ceremonial sword (1991,Coralwork sheath for ceremonial sword (1991.13.17.1),,,page_151.png,151.0,True,False,False,True,2
1899.78.4.5,Wooden weaving,Wooden weaving,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1899.78.4.7,Wooden weaving rod,Wooden weaving rod,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1901.32.5,,,,,page_009.png,9.0,False,False,False,True,1
1991.13.6,Ivory pedestal bowl inlaid with bronze,Ivory pedestal bowl inlaid with bronze,,,page_139.png,139.0,True,False,False,True,2
1991.13.32,Bronze armlet,Bronze armlet,,,page_163.png,163.0,True,False,False,True,2
1901.51.1,,,,,page_017.png,17.0,False,False,False,True,1
1899.78.4.6,Wooden weaving,Wooden weaving,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1991.13.37,Wooden weaving sword,Wooden weaving sword,,,page_168.png,168.0,True,False,False,True,2
1908.41.2,Brass plaque with with,Brass plaque with with,Henry Nilus Thompson,2.8,page_101.png,101.0,True,True,True,True,4
1991.13.11,Bronze altar-piece base,Bronze altar-piece base,,,page_145.png,145.0,True,False,False,True,2
