id,object_id,title,inventory_number,institution,object_url,description,dating,production_place,collector,material,technique,dimensions,rights,image_url,image_page_url,image_resource_id,image_preview_url,image_file,image_missing
smb_19487,19487,Glocke,III C 14473,Ethnologisches Museum,https://smb.museum-digital.de/object/19487?navlang=en,Glocke mit Klöppel aus Eisen,18.-19. Jahrhundert,Nigeria,,Messing; Eisen,Messing; Eisen,"Objektmaß: ca. 10,5 x 6 x 6 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=212426&resolution=superImageResolution#2367701,https://smb.museum-digital.de/singleimage?resourcenr=22954,22954,https://smb.museum-digital.de/resources/images/201806/200w_29230559469.jpg,smb_19487.jpg,False
smb_19831,19831,Portugiese mit Armbrust und Vogel,III C 8352,Ethnologisches Museum,https://smb.museum-digital.de/object/19831?navlang=en,"Portugiese mit Armbrust und Vogel. Sammler: Bey, Heinrich",1500-1700,Nigeria,Heinrich Bey,Messing,Messing,"Objektmaß: 38,5 x 29,5 x 3,8 cm (Messung am Objekt)",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211168&resolution=superImageResolution#6240,https://smb.museum-digital.de/singleimage?resourcenr=23298,23298,https://smb.museum-digital.de/resources/images/201806/200w_29230923152.jpg,smb_19831.jpg,False
smb_19212,19212,Altargruppe (aseberia) Oba Ewuakpes,III C 8165,Ethnologisches Museum,https://smb.museum-digital.de/object/19212?navlang=en,"Die Altargruppe des Königs Ewuakpe ist beispielhaft für die Individualisierung der Kunst Benins. Sie stand im Zentrum des Gedenkaltars, den Akenzua I. für seinen Vater errichtete, und verbildlicht die wechselvolle Geschichte des Königs, seiner Absetzung und Wiedereinsetzung. Dargestellt ist Ewuakpe nicht mit den vollen Insignien königlicher Macht – wie etwa Akenzua I. in seiner Altargruppe –, sondern mit einem europäisch anmutenden Hut. Allerdings trägt er die große königliche Perle und den hohen Halskragen. Die beiden Begleitfiguren sind ungeschmückt, sie werden als die beiden Sklaven gedeutet, mit denen allein er nach der mündlichen Überlieferung den Palast verließ, nachdem er abgesetzt wurde. Der mit mächtigen Symbolen geschmückte Stößel in seiner rechten Hand verweist auf die friedliche Aussöhnung des wiedereingesetzten Königs mit den Kriegs- und Stadtherren. Sammler: Schmidt, Eduard",1701-1750,Nigeria,Eduard Schmidt (Konsul) (1860-1899),Messing,Messing,"Objektmaß: 58 x 35 x 30 cm; Gewicht: 39,6 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=209780&resolution=superImageResolution#5466,https://smb.museum-digital.de/singleimage?resourcenr=22679,22679,https://smb.museum-digital.de/resources/images/201806/200w_29230146792.jpg,smb_19212.jpg,False
smb_20060,20060,Maske,III C 5441,Ethnologisches Museum,https://smb.museum-digital.de/object/20060?navlang=en,Maske Historische Bezeichnung des Herstellungsortes: Dahomey,19. Jahrhundert,Benin,,"Holz (bemalt), beschnitzt","Holz (bemalt), beschnitzt","Objektmaß: 29 x 21,5 x 29,5 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=222233&resolution=superImageResolution#3807260,https://smb.museum-digital.de/singleimage?resourcenr=23527,23527,https://smb.museum-digital.de/resources/images/201806/200w_29231252125.jpg,smb_20060.jpg,False
smb_19714,19714,Glocke,III C 8081,Ethnologisches Museum,https://smb.museum-digital.de/object/19714?navlang=en,Glocke mit Darstellung des Kopf eines Portugiesen,18.-19. Jahrhundert,Nigeria,,Messing,Messing,"Objektmaß: ca. 12 x 6 x 7 cm; Gewicht: 0,25 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=210872&resolution=superImageResolution#2367840,https://smb.museum-digital.de/singleimage?resourcenr=23181,23181,https://smb.museum-digital.de/resources/images/201806/200w_29230822471.jpg,smb_19714.jpg,False
smb_19406,19406,Händler mit Begleiter,III C 8369,Ethnologisches Museum,https://smb.museum-digital.de/object/19406?navlang=en,"Händler mit Begleiter Sammler: Bey, Heinrich",1500-1700,Nigeria,Heinrich Bey,Messing,Messing,"Objektmaß: H: 41 cm B: 38,5 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211216&resolution=superImageResolution#2367911,https://smb.museum-digital.de/singleimage?resourcenr=22873,22873,https://smb.museum-digital.de/resources/images/201806/200w_29230513547.jpg,smb_19406.jpg,False
smb_274746,274746,Handmaske,III C 36728 (Doppelt 2),Ethnologisches Museum,https://smb.museum-digital.de/object/274746?navlang=en,Handmaske. Hergestellt Benin Hergestellt Benin 19. Jh. oder 20. Jh.,1801-1914,Benin,,Bronze,Bronze,"Höhe x Breite x Tiefe: 14,5 x 10,5 x 4,5 cm, Höhe x Breite x Tiefe: 14.5 x 10.5 x 4.5 cm",CC BY,https://id.smb.museum/digital-asset/5752835,https://smb.museum-digital.de/singleimage?resourcenr=587147,587147,https://smb.museum-digital.de/resources/images/202304/200w_64415fbe5cab2.jpg,smb_274746.jpg,False
smb_16611,16611,Korb,III C 1534,Ethnologisches Museum,https://smb.museum-digital.de/object/16611?navlang=en,"Korb Historische Bezeichnung des Herstellungsortes: Dahomey Sammler: Bey, Heinrich",Vor 1882,Benin,Heinrich Bey,Pflanzliches Material (unbestimmt),Pflanzliches Material (unbestimmt),"Höhe x Breite x Tiefe: 9,5 x 19 x 20,5 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=1445074&resolution=superImageResolution#5239891,https://smb.museum-digital.de/singleimage?resourcenr=19394,19394,https://smb.museum-digital.de/resources/images/201806/200w_29185816058.jpg,smb_16611.jpg,False
smb_18146,18146,Glocke,III C 8078,Ethnologisches Museum,https://smb.museum-digital.de/object/18146?navlang=en,"Glocke mit Klöppel, vorn Darstellung des Kopfes eines Portugiesen",18.-19. Jahrhundert,Nigeria,,"Messing, Rohrhalm","Messing, Rohrhalm","Objektmaß: ca. 18,5 x 8 x 9 cm; Gewicht: 0,8 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=200250&resolution=superImageResolution#2367838,https://smb.museum-digital.de/singleimage?resourcenr=21464,21464,https://smb.museum-digital.de/resources/images/201806/200w_29191848072.jpg,smb_18146.jpg,False
smb_19718,19718,Gedenkkopf einer Königinmutter,III C 17110,Ethnologisches Museum,https://smb.museum-digital.de/object/19718?navlang=en,Gedenkkopf einer Königinmutter Sammler: Legnay,1500-1590er Jahre,Nigeria,Legnay,Messing,Messing,"Höhe x Breite x Tiefe: 47 x 15,5 x 18,5 cm; Gewicht: 5,6 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211856&resolution=superImageResolution#524818,https://smb.museum-digital.de/singleimage?resourcenr=23185,23185,https://smb.museum-digital.de/resources/images/201806/200w_29230824059.jpg,smb_19718.jpg,False
